"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","238","cy.hash() - get the current URL hash","Location","2026-06-19","passed","2026-06-19","","","",""
"","107",".eq() - get a DOM element at a specific index","Traversal","2026-06-19","passed","2026-06-19","","","",""
"","156",".trigger() - trigger an event on a DOM element","Actions","2026-06-19","passed","2026-06-19","","","",""
"","210","Cypress.Blob - blob utilities and base64 string conversion","Utilities","2026-06-19","passed","2026-06-19","","","",""
"","3665",".type() - type into a DOM element","Actions","2026-06-19","passed","2026-06-19","","","",""
"","115","cy.clearAllCookies() - clear all browser cookies","Cookies","2026-06-19","passed","2026-06-19","","","",""
"","112",".and() - chain multiple assertions together","Assertions","2026-06-19","passed","2026-06-19","","Implicit Assertions","",""
"","205","can check off an item as completed","example to-do app","2026-06-19","passed","2026-06-19","","","",""
"","96","cy.root() - query the root DOM element","Querying","2026-06-19","passed","2026-06-19","","","",""
"","209","cy.writeFile() - write to a file","Files","2026-06-19","passed","2026-06-19","","","",""
"","257","cy.spy() - wrap a method in a spy","Spies, Stubs, and Clock","2026-06-19","passed","2026-06-19","","","",""
"","75","cy.document() - get the document object","Window","2026-06-19","passed","2026-06-19","","","",""
"","92",".spread() - spread an array as individual args to callback function","Connectors","2026-06-19","passed","2026-06-19","","","",""
"","98",".not() - remove DOM elements from set of DOM elements","Traversal","2026-06-19","passed","2026-06-19","","","",""
"","98",".parentsUntil() - get parent DOM elements from DOM elements until el","Traversal","2026-06-19","passed","2026-06-19","","","",""
"","88","Get environment variables","Cypress APIs","2026-06-19","passed","2026-06-19","","Cypress.env()","",""
"","101",".its() - get properties on the current subject","Connectors","2026-06-19","passed","2026-06-19","","","",""
"","272","can delete all completed tasks","example to-do app","2026-06-19","passed","2026-06-19","","with a checked task","",""
"","1890",".click() - click on a DOM element","Actions","2026-06-19","passed","2026-06-19","","","",""
"","195",".rightclick() - right click on a DOM element","Actions","2026-06-19","passed","2026-06-19","","","",""
"","807",".uncheck() - uncheck a checkbox element","Actions","2026-06-19","passed","2026-06-19","","","",""
"","79","cy.url() - get the current URL","Location","2026-06-19","passed","2026-06-19","","","",""
"","85","Get underlying OS name","Cypress APIs","2026-06-19","passed","2026-06-19","","Cypress.platform","",""
"","95",".closest() - get closest ancestor DOM element","Traversal","2026-06-19","passed","2026-06-19","","","",""
"","145",".scrollIntoView() - scroll an element into view","Actions","2026-06-19","passed","2026-06-19","","","",""
"","117","cy.contains() - query DOM elements with matching content","Querying","2026-06-19","passed","2026-06-19","","","",""
"","88","yields the value yielded by the last Cypress command inside","Connectors","2026-06-19","passed","2026-06-19","",".then()","",""
"","995","cy.exec() - execute a system command","Misc","2026-06-19","passed","2026-06-19","","","",""
"","87",".first() - get first DOM element","Traversal","2026-06-19","passed","2026-06-19","","","",""
"","610","cy.request() - make an XHR request","Network Requests","2026-06-19","passed","2026-06-19","","","",""
"","85","Get CPU architecture name of underlying OS","Cypress APIs","2026-06-19","passed","2026-06-19","","Cypress.arch","",""
"","114",".filter() - get DOM elements that match the selector","Traversal","2026-06-19","passed","2026-06-19","","","",""
"","276",".each() - iterate over an array of elements","Connectors","2026-06-19","passed","2026-06-19","","","",""
"","92",".isHidden() - determine if a DOM element is hidden","Cypress APIs","2026-06-19","passed","2026-06-19","","Cypress.dom","",""
"","113",".debug() - enable or disable debugging","Cypress APIs","2026-06-19","passed","2026-06-19","","Cypress.Cookies","",""
"","326",".should() - make an assertion about the current subject","Assertions","2026-06-19","passed","2026-06-19","","Implicit Assertions","",""
"","503","cy.clearLocalStorage() - clear all data in localStorage for the current origin","Local Storage / Session Storage","2026-06-19","passed","2026-06-19","","","",""
"","110","finds element by class name regex","Assertions","2026-06-19","passed","2026-06-19","","Explicit Assertions","",""
"","173","cy.getAllLocalStorage() - get all data in localStorage for all origins","Local Storage / Session Storage","2026-06-19","passed","2026-06-19","","","",""
"","423","cy.reload() - reload the page","Navigation","2026-06-19","passed","2026-06-19","","","",""
"","425","can add new todo items","example to-do app","2026-06-19","passed","2026-06-19","","","",""
"","19","cy.stub() matches depending on arguments","Spies, Stubs, and Clock","2026-06-19","passed","2026-06-19","","","",""
"","109","invokes a callback function with the current subject","Connectors","2026-06-19","passed","2026-06-19","",".then()","",""
"","397",".as() - alias a DOM element for later use","Aliasing","2026-06-19","passed","2026-06-19","","","",""
"","95","Cypress.Screenshot.defaults() - change default config of screenshots","Misc","2026-06-19","passed","2026-06-19","","Cypress.Screenshot","",""
"","356","cy.fixture() - load a fixture","Files","2026-06-19","passed","2026-06-19","","","",""
"","263","cy.request() - verify response using BDD syntax","Network Requests","2026-06-19","passed","2026-06-19","","","",""
"","85","cy.wrap() - wrap an object","Misc","2026-06-19","passed","2026-06-19","","","",""
"","443","cy.intercept() - route responses to matching requests","Network Requests","2026-06-19","passed","2026-06-19","","","",""
"","851",".select() - select an option in a <select> element","Actions","2026-06-19","passed","2026-06-19","","","",""
"","87","Cypress.minimatch - test out glob patterns against strings","Utilities","2026-06-19","passed","2026-06-19","","","",""
"","121","cy.setCookie() - set a browser cookie","Cookies","2026-06-19","passed","2026-06-19","","","",""
"","100","yields the returned value to the next command","Connectors","2026-06-19","passed","2026-06-19","",".then()","",""
"","93",".nextAll() - get all next sibling DOM elements","Traversal","2026-06-19","passed","2026-06-19","","","",""
"","285","can filter for uncompleted tasks","example to-do app","2026-06-19","passed","2026-06-19","","with a checked task","",""
"","315","Cypress._ - call a lodash method","Utilities","2026-06-19","passed","2026-06-19","","","",""
"","255","cy.request() with query parameters","Network Requests","2026-06-19","passed","2026-06-19","","","",""
"","4466","cy.wait() - wait for a specific amount of time","Waiting","2026-06-19","passed","2026-06-19","","","",""
"","453",".submit() - submit a form","Actions","2026-06-19","passed","2026-06-19","","","",""
"","90","Control what is printed to the Command Log","Cypress APIs","2026-06-19","passed","2026-06-19","","Cypress.log","",""
"","239","cy.tick() - move time in the browser","Spies, Stubs, and Clock","2026-06-19","passed","2026-06-19","","","",""
"","2151","cy.scrollTo() - scroll the window or element to a position","Actions","2026-06-19","passed","2026-06-19","","","",""
"","87","Get current version of Cypress being run","Cypress APIs","2026-06-19","passed","2026-06-19","","Cypress.version","",""
"","99","cy.title() - get the title","Window","2026-06-19","passed","2026-06-19","","","",""
"","111","assert - assert shape of an object","Assertions","2026-06-19","passed","2026-06-19","","Explicit Assertions","",""
"","2523","cy.spy() retries until assertions pass","Spies, Stubs, and Clock","2026-06-19","passed","2026-06-19","","","",""
"","122",".find() - get descendant DOM elements of the selector","Traversal","2026-06-19","passed","2026-06-19","","","",""
"","80","Get current spec information","Cypress APIs","2026-06-19","passed","2026-06-19","","Cypress.spec","",""
"","173","cy.clearCookies() - clear browser cookies for the current domain","Cookies","2026-06-19","passed","2026-06-19","","","",""
"","163","cy.clearAllSessionStorage() - clear all data in sessionStorage for all origins","Local Storage / Session Storage","2026-06-19","passed","2026-06-19","","","",""
"","97","cy.location() - get window.location","Location","2026-06-19","passed","2026-06-19","","","",""
"","606","best practices - selecting elements","Querying","2026-06-19","passed","2026-06-19","","","",""
"","102",".next() - get next sibling DOM element","Traversal","2026-06-19","passed","2026-06-19","","","",""
"","239","cy.wait() - wait for a specific route","Waiting","2026-06-19","passed","2026-06-19","","","",""
"","95","can throw any error","Assertions","2026-06-19","passed","2026-06-19","","Explicit Assertions","",""
"","90",".prevAll() - get all previous sibling DOM elements","Traversal","2026-06-19","passed","2026-06-19","","","",""
"","802",".check() - check a checkbox or radio element","Actions","2026-06-19","passed","2026-06-19","","","",""
